term	coefficient	std_error	z	p_value	ci_lower	ci_upper
Intercept	0.7562857680999178	0.015052091487844615	50.24456360172005	0.0	0.7267842108917404	0.7857873253080951
C(biased_category)[T.asian]	-0.001390741061060282	0.003352566258819307	-0.4148288068585608	0.6782672298410435	-0.007961650184130314	0.0051801680620097495
C(biased_category)[T.black]	0.0012398898924472815	0.0033525662588192945	0.369833076135517	0.7115068686495478	-0.005331019230622725	0.007810799015517287
C(biased_category)[T.female]	0.0019258809603039694	0.0033525662588193466	0.5744497831288786	0.5656634729718416	-0.004645028162766139	0.008496790083374077
C(biased_category)[T.hispanic]	-0.0022266148415804525	0.003352566258819355	-0.6641523745348976	0.5065927916608506	-0.008797523964650578	0.004344294281489672
C(biased_category)[T.homeless]	0.0018759803407725195	0.0033525662588193158	0.5595654778895227	0.5757758576232375	-0.004694928782297528	0.008446889463842568
C(biased_category)[T.immigrant]	-0.00036279142669100604	0.0033525662588193028	-0.10821305193794228	0.9138266918056128	-0.0069337005497610285	0.006208117696379017
C(biased_category)[T.low-income]	0.0009774734623542536	0.0033525662588193275	0.2915597744810837	0.7706232349926367	-0.005593435660715818	0.007548382585424325
C(biased_category)[T.wealthy]	0.001959216182550289	0.003352566258819346	0.5843929787804566	0.558955949479663	-0.004611692940519819	0.008530125305620397
C(biased_category)[T.white]	-0.00012674266513191306	0.0033525662588193288	-0.03780467121223965	0.9698434199475834	-0.006697651788201987	0.006444166457938161
C(model)[T.Llama-4-Scout-17B-16E-Instruct]	-0.14063580660763692	0.0024955868089633695	-56.35380268180492	0.0	-0.14552706687349837	-0.13574454634177546
C(model)[T.claude-haiku-4-5]	-0.10821344827585065	0.002494971135878509	-43.372625326083146	0.0	-0.11310350184463952	-0.10332339470706178
C(model)[T.gemini-3.1-flash-lite]	0.12239356704978947	0.0024949711358785067	49.05610541530107	0.0	0.1175035134810006	0.12728362061857834
C(model)[T.gpt-5-mini]	-0.06696965134099048	0.0024949711358785015	-26.841854151314607	1.049947999363307e-158	-0.07185970490977933	-0.06207959777220162
C(threshold)[T.0.75]	-0.03142059398351637	0.00249521015213004	-12.592363796169284	2.3260194937083842e-36	-0.036311116015549955	-0.02653007195148278
C(threshold)[T.0.8]	-0.07398793255411848	0.002495210152130041	-29.651984419411942	3.1975292735560196e-193	-0.07887845458615207	-0.06909741052208489
C(threshold)[T.0.85]	-0.1282854263268653	0.002495210152130042	-51.41267408572947	0.0	-0.13317594835889887	-0.1233949042948317
C(threshold)[T.0.9]	-0.23510513891547194	0.002495210152130041	-94.22258029640268	0.0	-0.23999566094750552	-0.23021461688343836
C(difficulty)[T.hard]	0.010751792187898531	0.01718033924271879	0.6258195508249499	0.5314333067076915	-0.022921053970010437	0.0444246383458075
C(difficulty)[T.medium]	0.013521231932204312	0.015310520690401468	0.8831333829607177	0.37716420931052086	-0.01648683720553789	0.04352930106994651
