model,threshold,precision,recall,f1,n
Llama-4-Maverick-17B-128E-Instruct-FP8,0.7,0.7304702947368422,0.8580022066985645,0.7695823483253589,52250.0
Llama-4-Maverick-17B-128E-Instruct-FP8,0.75,0.692465385645933,0.8163442507177033,0.7305969894736842,52250.0
Llama-4-Maverick-17B-128E-Instruct-FP8,0.8,0.6453138354066985,0.7624411196172249,0.6816876746411484,52250.0
Llama-4-Maverick-17B-128E-Instruct-FP8,0.85,0.5972435004784689,0.7069353626794258,0.6314468822966507,52250.0
Llama-4-Maverick-17B-128E-Instruct-FP8,0.9,0.5315197014354067,0.6264642239234449,0.5612772899521532,52250.0
Llama-4-Scout-17B-16E-Instruct,0.7,0.6498398773946359,0.6696679386973179,0.6403800038314176,52200.0
Llama-4-Scout-17B-16E-Instruct,0.75,0.6030402088122605,0.620742785440613,0.5938773448275861,52200.0
Llama-4-Scout-17B-16E-Instruct,0.8,0.5553607279693487,0.5719810862068966,0.5470160153256705,52200.0
Llama-4-Scout-17B-16E-Instruct,0.85,0.5159104712643677,0.5308774942528736,0.507795632183908,52200.0
Llama-4-Scout-17B-16E-Instruct,0.9,0.44426019157088126,0.454235398467433,0.43571951149425286,52200.0
claude-haiku-4-5,0.7,0.9229015349282297,0.5298402373205741,0.6641657454545454,52250.0
claude-haiku-4-5,0.75,0.8808522028708134,0.5042704612440192,0.632833475598086,52250.0
claude-haiku-4-5,0.8,0.8159381588516746,0.46600639808612443,0.5853824114832535,52250.0
claude-haiku-4-5,0.85,0.7416264459330145,0.42254109473684215,0.5312964497607655,52250.0
claude-haiku-4-5,0.9,0.5874095961722487,0.3332028133971292,0.41970971674641144,52250.0
gemini-3.1-flash-lite,0.7,0.8970708746411482,0.8850787770334929,0.8885270564593303,52250.0
gemini-3.1-flash-lite,0.75,0.8604101416267942,0.8487872076555024,0.8521573894736841,52250.0
gemini-3.1-flash-lite,0.8,0.8171709588516747,0.8061060650717704,0.8093257875598087,52250.0
gemini-3.1-flash-lite,0.85,0.7723997645933015,0.7619945052631578,0.7650273990430622,52250.0
gemini-3.1-flash-lite,0.9,0.6761593913875599,0.6670657933014355,0.6697389339712918,52250.0
gpt-5-mini,0.7,0.994430428708134,0.5532554277511962,0.6994838679425838,52250.0
gpt-5-mini,0.75,0.9866283502392345,0.5480463674641147,0.6933658315789475,52250.0
gpt-5-mini,0.8,0.9514653416267942,0.5262701588516747,0.666960176076555,52250.0
gpt-5-mini,0.85,0.837747603827751,0.461125638277512,0.5854840593301435,52250.0
gpt-5-mini,0.9,0.5657695330143541,0.3119994545454545,0.3959473703349283,52250.0
