biased_category,precision,recall,f1,n
arab,0.7287908468606432,0.6078635589586524,0.6362979563552833,130600.0
asian,0.728306993108729,0.606498322358346,0.6353768836140888,130600.0
black,0.731316052833078,0.6095956071975497,0.6384905658499235,130600.0
female,0.7322516010719755,0.6120838483920368,0.6400959180704441,130600.0
hispanic,0.7269537909647781,0.6063617710566617,0.6346444004594182,130600.0
homeless,0.7332589326186829,0.6119659670750384,0.6406435045941806,130600.0
immigrant,0.7297978912710567,0.6093539839203675,0.6376796875957121,130600.0
low-income,0.7325837970903524,0.611087312404288,0.6398293751914242,130600.0
wealthy,0.7341859823889738,0.6125448284839204,0.6412983621745788,130600.0
white,0.7322552274119448,0.6100347174578867,0.639336269525268,130600.0
