model,biased_category,precision,recall,f1,n
Llama-4-Maverick-17B-128E-Instruct-FP8,arab,0.638657209569378,0.7546151119617225,0.6748300822966508,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,asian,0.6383370564593301,0.7526670928229665,0.6737948440191387,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,black,0.6400399119617224,0.7539246468899522,0.6752944076555024,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,female,0.6387124937799044,0.7572399693779905,0.6758545607655503,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,hispanic,0.6366481684210525,0.7534228669856461,0.673153871770335,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,homeless,0.6413724937799044,0.7538332248803827,0.6759539827751196,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,immigrant,0.6386182507177033,0.7529910086124401,0.6739581511961722,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,low-income,0.6406113531100477,0.7537731866028707,0.675537110047847,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,wealthy,0.6412272612440192,0.7565606468899523,0.6769259406698563,26125.0
Llama-4-Maverick-17B-128E-Instruct-FP8,white,0.6398012363636363,0.7513465722488037,0.6738794181818182,26125.0
Llama-4-Scout-17B-16E-Instruct,arab,0.545909214559387,0.5573343639846744,0.5343776053639846,26100.0
Llama-4-Scout-17B-16E-Instruct,asian,0.5403721954022989,0.5517080651340996,0.5287717662835248,26100.0
Llama-4-Scout-17B-16E-Instruct,black,0.5577437279693487,0.5749065708812261,0.5497064559386974,26100.0
Llama-4-Scout-17B-16E-Instruct,female,0.5604993678160919,0.5790068620689655,0.5533094329501916,26100.0
Llama-4-Scout-17B-16E-Instruct,hispanic,0.5395795095785441,0.5528774559386973,0.5287244061302682,26100.0
Llama-4-Scout-17B-16E-Instruct,homeless,0.5612948199233716,0.5793285785440613,0.5537387011494252,26100.0
Llama-4-Scout-17B-16E-Instruct,immigrant,0.5504605517241379,0.5674473448275862,0.5427211570881226,26100.0
Llama-4-Scout-17B-16E-Instruct,low-income,0.5580187586206897,0.5750210613026819,0.5503140191570881,26100.0
Llama-4-Scout-17B-16E-Instruct,wealthy,0.5626727164750958,0.5791832873563217,0.5545109731800766,26100.0
Llama-4-Scout-17B-16E-Instruct,white,0.560272091954023,0.578195816091954,0.5534024980842911,26100.0
claude-haiku-4-5,arab,0.7892472038277513,0.4514863311004785,0.5668742545454545,26125.0
claude-haiku-4-5,asian,0.7909704727272727,0.4525308899521531,0.5681186373205741,26125.0
claude-haiku-4-5,black,0.7884876057416269,0.4499872612440191,0.5653216535885168,26125.0
claude-haiku-4-5,female,0.7862491521531102,0.44845473301435407,0.5636066564593302,26125.0
claude-haiku-4-5,hispanic,0.7905238889952153,0.45253534928229666,0.5680324363636364,26125.0
claude-haiku-4-5,homeless,0.7892483330143539,0.45138364019138755,0.5666582277511961,26125.0
claude-haiku-4-5,immigrant,0.7882675942583732,0.44966644210526313,0.5652088612440191,26125.0
claude-haiku-4-5,low-income,0.7905515980861245,0.4515373129186602,0.5670787751196172,26125.0
claude-haiku-4-5,wealthy,0.7929944114832537,0.45247933397129186,0.5686119808612441,26125.0
claude-haiku-4-5,white,0.7909156172248804,0.45166071578947364,0.5672641148325359,26125.0
gemini-3.1-flash-lite,arab,0.8031100248803827,0.7958371253588518,0.7972759732057416,26125.0
gemini-3.1-flash-lite,asian,0.8043846468899523,0.7948656038277512,0.7973547751196173,26125.0
gemini-3.1-flash-lite,black,0.8042629971291866,0.7900001071770334,0.7949825224880382,26125.0
gemini-3.1-flash-lite,female,0.8081938641148325,0.7961348019138755,0.799848876555024,26125.0
gemini-3.1-flash-lite,hispanic,0.8001730181818183,0.7911287234449761,0.7933804133971293,26125.0
gemini-3.1-flash-lite,homeless,0.8063187674641149,0.7958589090909092,0.7988189511961723,26125.0
gemini-3.1-flash-lite,immigrant,0.8043189626794259,0.7957541282296651,0.7977548708133971,26125.0
gemini-3.1-flash-lite,low-income,0.8060662660287082,0.7957191311004784,0.7985872918660287,26125.0
gemini-3.1-flash-lite,wealthy,0.8052318468899522,0.7932291253588517,0.7968926315789474,26125.0
gemini-3.1-flash-lite,white,0.8043618679425838,0.7895370411483252,0.7946568267942585,26125.0
gpt-5-mini,arab,0.8668555751196173,0.4799965090909091,0.6080343349282297,26125.0
gpt-5-mini,asian,0.86729075215311,0.4806675291866029,0.608742380861244,26125.0
gpt-5-mini,black,0.865879923444976,0.4791262545454546,0.607062828708134,26125.0
gpt-5-mini,female,0.867438771291866,0.47955122296650726,0.6077770143540671,26125.0
gpt-5-mini,hispanic,0.8676650641148325,0.4817932784688994,0.6098295157894738,26125.0
gpt-5-mini,homeless,0.8678956899521532,0.47939425071770336,0.6079644976076555,26125.0
gpt-5-mini,immigrant,0.8671524822966507,0.4808708937799043,0.608664528229665,26125.0
gpt-5-mini,low-income,0.8675039617224879,0.47935135693779907,0.6075440191387561,26125.0
gpt-5-mini,wealthy,0.8686395483253587,0.481239823923445,0.6094672344497608,26125.0
gpt-5-mini,white,0.8657607464114832,0.47940297416267946,0.6073962564593302,26125.0
