biased_category,mean_gt_count,mean_pred_count,mean_count_difference,median_count_difference,mean_count_ratio
arab,11.402947932618684,8.673200612557427,-2.729747320061256,-1.0,0.8961761011953533
asian,11.402947932618684,8.655168453292497,-2.7477794793261867,-1.0,0.8945852147798292
black,11.402947932618684,8.681278713629403,-2.7216692189892804,-1.0,0.8982299667567979
female,11.402947932618684,8.703675344563553,-2.69927258805513,-1.0,0.9007926062565041
hispanic,11.402947932618684,8.672894333843798,-2.730053598774885,-1.0,0.8965238453291383
homeless,11.402947932618684,8.698238897396632,-2.704709035222052,-1.0,0.8992946266335843
immigrant,11.402947932618684,8.690581929555895,-2.712366003062787,-1.0,0.8991332130362802
low-income,11.402947932618684,8.691079632465543,-2.711868300153139,-1.0,0.8991092474649967
wealthy,11.402947932618684,8.694563552833078,-2.708384379785605,-1.0,0.8994724651091565
white,11.402947932618684,8.687251148545176,-2.715696784073507,-1.0,0.898583515623406
