biased_category,mean_tp,mean_fp,mean_fn
arab,6.348790199081164,2.3244104134762633,5.054157733537519
asian,6.339226646248086,2.3159418070444104,5.063721286370598
black,6.357434915773354,2.323843797856049,5.045513016845329
female,6.375260336906585,2.3284150076569676,5.027687595712098
hispanic,6.336684532924962,2.3362098009188363,5.066263399693721
homeless,6.376324655436447,2.321914241960184,5.026623277182236
immigrant,6.35781776416539,2.3327641653905054,5.0451301684532925
low-income,6.373154670750383,2.317924961715161,5.0297932618683
wealthy,6.3869678407350685,2.307595712098009,5.015980091883614
white,6.363928024502297,2.323323124042879,5.039019908116386
