model,biased_category,mean_tp,mean_fp,mean_fn
Llama-4-Maverick-17B-128E-Instruct-FP8,arab,5.787444976076555,3.304421052631579,2.1608803827751197
Llama-4-Maverick-17B-128E-Instruct-FP8,asian,5.767081339712918,3.301244019138756,2.181244019138756
Llama-4-Maverick-17B-128E-Instruct-FP8,black,5.777684210526316,3.2801148325358853,2.170641148325359
Llama-4-Maverick-17B-128E-Instruct-FP8,female,5.79644019138756,3.309014354066986,2.1518851674641146
Llama-4-Maverick-17B-128E-Instruct-FP8,hispanic,5.77178947368421,3.3181626794258374,2.176535885167464
Llama-4-Maverick-17B-128E-Instruct-FP8,homeless,5.770985645933014,3.256956937799043,2.1773397129186605
Llama-4-Maverick-17B-128E-Instruct-FP8,immigrant,5.773167464114833,3.293626794258373,2.175157894736842
Llama-4-Maverick-17B-128E-Instruct-FP8,low-income,5.778411483253588,3.2740287081339714,2.1699138755980862
Llama-4-Maverick-17B-128E-Instruct-FP8,wealthy,5.798813397129186,3.2712344497607657,2.149511961722488
Llama-4-Maverick-17B-128E-Instruct-FP8,white,5.76355980861244,3.2756746411483255,2.1847655502392342
Llama-4-Scout-17B-16E-Instruct,arab,4.531072796934866,3.5442145593869734,3.987126436781609
Llama-4-Scout-17B-16E-Instruct,asian,4.491800766283525,3.5342528735632186,4.0263984674329505
Llama-4-Scout-17B-16E-Instruct,black,4.674750957854406,3.5808045977011496,3.843448275862069
Llama-4-Scout-17B-16E-Instruct,female,4.717509578544061,3.5893869731800767,3.800689655172414
Llama-4-Scout-17B-16E-Instruct,hispanic,4.487547892720307,3.57183908045977,4.030651340996169
Llama-4-Scout-17B-16E-Instruct,homeless,4.703256704980843,3.6086206896551722,3.814942528735632
Llama-4-Scout-17B-16E-Instruct,immigrant,4.607969348659004,3.5922222222222224,3.910229885057471
Llama-4-Scout-17B-16E-Instruct,low-income,4.681532567049809,3.5866666666666664,3.8366666666666664
Llama-4-Scout-17B-16E-Instruct,wealthy,4.709846743295019,3.561800766283525,3.808352490421456
Llama-4-Scout-17B-16E-Instruct,white,4.696091954022989,3.5972030651341,3.8221072796934865
claude-haiku-4-5,arab,7.0468516746411485,1.8538181818181818,8.81822009569378
claude-haiku-4-5,asian,7.05998086124402,1.841263157894737,8.805090909090909
claude-haiku-4-5,black,7.02422966507177,1.855578947368421,8.840842105263159
claude-haiku-4-5,female,6.994334928229665,1.8827942583732058,8.870736842105263
claude-haiku-4-5,hispanic,7.062468899521531,1.8471961722488037,8.802602870813397
claude-haiku-4-5,homeless,7.0362870813397125,1.863425837320574,8.828784688995215
claude-haiku-4-5,immigrant,7.0194832535885165,1.8677894736842104,8.845588516746412
claude-haiku-4-5,low-income,7.042870813397129,1.8447846889952153,8.822200956937799
claude-haiku-4-5,wealthy,7.059062200956938,1.8195980861244019,8.80600956937799
claude-haiku-4-5,white,7.047311004784689,1.8418755980861243,8.81776076555024
gemini-3.1-flash-lite,arab,7.454545454545454,1.8497607655502393,1.9291866028708133
gemini-3.1-flash-lite,asian,7.440612440191387,1.8334545454545454,1.9431196172248804
gemini-3.1-flash-lite,black,7.397014354066986,1.823464114832536,1.9867177033492822
gemini-3.1-flash-lite,female,7.44911004784689,1.798354066985646,1.934622009569378
gemini-3.1-flash-lite,hispanic,7.410411483253588,1.8778181818181818,1.9733205741626794
gemini-3.1-flash-lite,homeless,7.447961722488039,1.8184497607655503,1.9357703349282296
gemini-3.1-flash-lite,immigrant,7.450602870813397,1.8383923444976076,1.9331291866028708
gemini-3.1-flash-lite,low-income,7.44532057416268,1.8207081339712918,1.9384114832535886
gemini-3.1-flash-lite,wealthy,7.423043062200957,1.8282488038277511,1.960688995215311
gemini-3.1-flash-lite,white,7.391732057416268,1.8268325358851674,1.992
gpt-5-mini,arab,6.922296650717703,1.0710047846889952,8.374354066985646
gpt-5-mini,asian,6.93488995215311,1.0706602870813398,8.361760765550239
gpt-5-mini,black,6.911885167464114,1.0804593301435406,8.384765550239235
gpt-5-mini,female,6.917320574162679,1.0637320574162679,8.37933014354067
gpt-5-mini,hispanic,6.949435406698565,1.0672153110047846,8.347215311004785
gpt-5-mini,homeless,6.921531100478469,1.0633492822966508,8.37511961722488
gpt-5-mini,immigrant,6.936191387559808,1.0729952153110047,8.360459330143541
gpt-5-mini,low-income,6.916019138755981,1.0646507177033493,8.380631578947368
gpt-5-mini,wealthy,6.942468899521531,1.0582966507177034,8.354181818181818
gpt-5-mini,white,6.9193492822966505,1.0762488038277511,8.377301435406698
