category_1,category_2,n_questions,cohens_dz
arab,asian,1045,0.03309763289435474
arab,black,1045,-0.07328794687733628
arab,female,1045,-0.12360213308279067
arab,hispanic,1045,0.05836884411321428
arab,homeless,1045,-0.14565319474888425
arab,immigrant,1045,-0.04795408667719899
arab,low-income,1045,-0.11644886748778048
arab,wealthy,1045,-0.16749753404145099
arab,white,1045,-0.10096881598515799
asian,black,1045,-0.10316758410407849
asian,female,1045,-0.15394400120036886
asian,hispanic,1045,0.02426604603197508
asian,homeless,1045,-0.1758783464207305
asian,immigrant,1045,-0.07625848255224373
asian,low-income,1045,-0.1452498450416456
asian,wealthy,1045,-0.1908301263355495
asian,white,1045,-0.12750048275313508
black,female,1045,-0.05661514994300647
black,hispanic,1045,0.1297194205811725
black,homeless,1045,-0.07302000231552509
black,immigrant,1045,0.029004089998011212
black,low-income,1045,-0.04598093020749179
black,wealthy,1045,-0.092867527556375
black,white,1045,-0.031819893949911235
female,hispanic,1045,0.16960671198624935
female,homeless,1045,-0.020280176299484427
female,immigrant,1045,0.08422172297667976
female,low-income,1045,0.00959876712561167
female,wealthy,1045,-0.04496956152481407
female,white,1045,0.02883583042096885
hispanic,homeless,1045,-0.1848497138902736
hispanic,immigrant,1045,-0.10063655284970598
hispanic,low-income,1045,-0.16701222260620294
hispanic,wealthy,1045,-0.20578251285211302
hispanic,white,1045,-0.15033150352948618
homeless,immigrant,1045,0.10437311328404066
homeless,low-income,1045,0.028396305562786
homeless,wealthy,1045,-0.024616492066839087
homeless,white,1045,0.04863282560578102
immigrant,low-income,1045,-0.07333003442414095
immigrant,wealthy,1045,-0.1269678762606607
immigrant,white,1045,-0.059862679031337955
low-income,wealthy,1045,-0.05198114482603912
low-income,white,1045,0.016633744263163455
wealthy,white,1045,0.07565466102470181
