model,biased_category,mean_f1_nonzero,n_nonzero_f1,n_zero_f1,total_cases,pct_f1_zero
Llama-4-Maverick-17B-128E-Instruct-FP8,arab,0.6789884806470249,25965.0,160.0,26125.0,0.6124401913875598
Llama-4-Maverick-17B-128E-Instruct-FP8,asian,0.6781558076819355,25957.0,168.0,26125.0,0.6430622009569378
Llama-4-Maverick-17B-128E-Instruct-FP8,black,0.6796912621359223,25956.0,169.0,26125.0,0.6468899521531101
Llama-4-Maverick-17B-128E-Instruct-FP8,female,0.6799145288613346,25969.0,156.0,26125.0,0.5971291866028708
Llama-4-Maverick-17B-128E-Instruct-FP8,hispanic,0.6772497747140601,25967.0,158.0,26125.0,0.6047846889952153
Llama-4-Maverick-17B-128E-Instruct-FP8,homeless,0.6800931140722484,25966.0,159.0,26125.0,0.6086124401913875
Llama-4-Maverick-17B-128E-Instruct-FP8,immigrant,0.678241783513097,25960.0,165.0,26125.0,0.631578947368421
Llama-4-Maverick-17B-128E-Instruct-FP8,low-income,0.6795690026954178,25970.0,155.0,26125.0,0.5933014354066986
Llama-4-Maverick-17B-128E-Instruct-FP8,wealthy,0.6808874677549763,25973.0,152.0,26125.0,0.5818181818181818
Llama-4-Maverick-17B-128E-Instruct-FP8,white,0.6785023239680888,25947.0,178.0,26125.0,0.6813397129186602
Llama-4-Scout-17B-16E-Instruct,arab,0.5789645288501454,24090.0,2010.0,26100.0,7.7011494252873565
Llama-4-Scout-17B-16E-Instruct,asian,0.5778805418306674,23882.0,2218.0,26100.0,8.49808429118774
Llama-4-Scout-17B-16E-Instruct,black,0.5826803598261788,24623.0,1477.0,26100.0,5.659003831417624
Llama-4-Scout-17B-16E-Instruct,female,0.5827600258262379,24781.0,1319.0,26100.0,5.053639846743295
Llama-4-Scout-17B-16E-Instruct,hispanic,0.5768384817957614,23923.0,2177.0,26100.0,8.340996168582375
Llama-4-Scout-17B-16E-Instruct,homeless,0.5817332192883593,24844.0,1256.0,26100.0,4.812260536398467
Llama-4-Scout-17B-16E-Instruct,immigrant,0.5788020348955992,24473.0,1627.0,26100.0,6.233716475095785
Llama-4-Scout-17B-16E-Instruct,low-income,0.5824019098207769,24662.0,1438.0,26100.0,5.509578544061303
Llama-4-Scout-17B-16E-Instruct,wealthy,0.5835780806451613,24800.0,1300.0,26100.0,4.980842911877394
Llama-4-Scout-17B-16E-Instruct,white,0.5809824705361812,24861.0,1239.0,26100.0,4.747126436781609
claude-haiku-4-5,arab,0.5864255127900531,25254.0,871.0,26125.0,3.3339712918660287
claude-haiku-4-5,asian,0.5874336816274836,25266.0,859.0,26125.0,3.288038277511961
claude-haiku-4-5,black,0.5847035987172889,25259.0,866.0,26125.0,3.314832535885168
claude-haiku-4-5,female,0.5835998374950455,25230.0,895.0,26125.0,3.425837320574163
claude-haiku-4-5,hispanic,0.5873910465484484,25264.0,861.0,26125.0,3.295693779904306
claude-haiku-4-5,homeless,0.5861092010452134,25258.0,867.0,26125.0,3.3186602870813395
claude-haiku-4-5,immigrant,0.5844712436668777,25264.0,861.0,26125.0,3.295693779904306
claude-haiku-4-5,low-income,0.5863352594292952,25267.0,858.0,26125.0,3.2842105263157895
claude-haiku-4-5,wealthy,0.5878739958051368,25269.0,856.0,26125.0,3.276555023923445
claude-haiku-4-5,white,0.5866894299287411,25260.0,865.0,26125.0,3.311004784688995
gemini-3.1-flash-lite,arab,0.7978562322837662,26106.0,19.0,26125.0,0.07272727272727272
gemini-3.1-flash-lite,asian,0.7980267976860896,26103.0,22.0,26125.0,0.08421052631578947
gemini-3.1-flash-lite,black,0.7962626385001726,26083.0,42.0,26125.0,0.16076555023923444
gemini-3.1-flash-lite,female,0.7999407357782712,26122.0,3.0,26125.0,0.011483253588516746
gemini-3.1-flash-lite,hispanic,0.794536102273163,26087.0,38.0,26125.0,0.14545454545454545
gemini-3.1-flash-lite,homeless,0.7988495291685807,26124.0,1.0,26125.0,0.0038277511961722485
gemini-3.1-flash-lite,immigrant,0.7983660601417354,26105.0,20.0,26125.0,0.07655502392344497
gemini-3.1-flash-lite,low-income,0.7986178609707549,26124.0,1.0,26125.0,0.0038277511961722485
gemini-3.1-flash-lite,wealthy,0.7973504404442742,26110.0,15.0,26125.0,0.05741626794258373
gemini-3.1-flash-lite,white,0.7959059040024535,26084.0,41.0,26125.0,0.15693779904306218
gpt-5-mini,arab,0.6102534383403765,26030.0,95.0,26125.0,0.36363636363636365
gpt-5-mini,asian,0.610940597748838,26031.0,94.0,26125.0,0.3598086124401914
gpt-5-mini,black,0.6093720279720279,26026.0,99.0,26125.0,0.3789473684210526
gpt-5-mini,female,0.609550251449192,26049.0,76.0,26125.0,0.2909090909090909
gpt-5-mini,hispanic,0.612243336407655,26022.0,103.0,26125.0,0.3942583732057416
gpt-5-mini,homeless,0.6098085118636258,26046.0,79.0,26125.0,0.30239234449760766
gpt-5-mini,immigrant,0.6105106657452201,26046.0,79.0,26125.0,0.30239234449760766
gpt-5-mini,low-income,0.6095739880175128,26038.0,87.0,26125.0,0.33301435406698565
gpt-5-mini,wealthy,0.6113862266251968,26043.0,82.0,26125.0,0.31387559808612436
gpt-5-mini,white,0.609589612385233,26031.0,94.0,26125.0,0.3598086124401914
