model	threshold	mean_f1	sd_f1	n	se	ci_lower	ci_upper
Llama-4-Maverick-17B-128E-Instruct-FP8	0.7	0.7697	0.1225	10440	0.0012	0.7673	0.772
Llama-4-Maverick-17B-128E-Instruct-FP8	0.75	0.7307	0.1274	10440	0.0012	0.7283	0.7331
Llama-4-Maverick-17B-128E-Instruct-FP8	0.8	0.6817	0.1381	10440	0.0014	0.6791	0.6844
Llama-4-Maverick-17B-128E-Instruct-FP8	0.85	0.6316	0.1488	10440	0.0015	0.6287	0.6344
Llama-4-Maverick-17B-128E-Instruct-FP8	0.9	0.5615	0.1886	10440	0.0018	0.5579	0.5651
Llama-4-Scout-17B-16E-Instruct	0.7	0.6403	0.1882	10430	0.0018	0.6367	0.6439
Llama-4-Scout-17B-16E-Instruct	0.75	0.5938	0.1898	10430	0.0019	0.5901	0.5974
Llama-4-Scout-17B-16E-Instruct	0.8	0.5469	0.1927	10430	0.0019	0.5432	0.5506
Llama-4-Scout-17B-16E-Instruct	0.85	0.5076	0.196	10430	0.0019	0.5039	0.5114
Llama-4-Scout-17B-16E-Instruct	0.9	0.4358	0.2102	10430	0.0021	0.4318	0.4399
claude-haiku-4-5	0.7	0.6641	0.1448	10440	0.0014	0.6614	0.6669
claude-haiku-4-5	0.75	0.6328	0.1412	10440	0.0014	0.6301	0.6355
claude-haiku-4-5	0.8	0.5853	0.1395	10440	0.0014	0.5827	0.588
claude-haiku-4-5	0.85	0.5313	0.1394	10440	0.0014	0.5286	0.5339
claude-haiku-4-5	0.9	0.4197	0.1601	10440	0.0016	0.4166	0.4228
gemini-3.1-flash-lite	0.7	0.8886	0.0663	10440	0.0006	0.8873	0.8898
gemini-3.1-flash-lite	0.75	0.8522	0.079	10440	0.0008	0.8507	0.8537
gemini-3.1-flash-lite	0.8	0.8093	0.092	10440	0.0009	0.8076	0.8111
gemini-3.1-flash-lite	0.85	0.765	0.1049	10440	0.001	0.763	0.767
gemini-3.1-flash-lite	0.9	0.6696	0.1326	10440	0.0013	0.6671	0.6722
gpt-5-mini	0.7	0.6995	0.113	10440	0.0011	0.6973	0.7017
gpt-5-mini	0.75	0.6934	0.1103	10440	0.0011	0.6912	0.6955
gpt-5-mini	0.8	0.6669	0.104	10440	0.001	0.6649	0.6689
gpt-5-mini	0.85	0.5854	0.104	10440	0.001	0.5834	0.5874
gpt-5-mini	0.9	0.3959	0.1087	10440	0.0011	0.3938	0.398
